개방자치단체코드,관리번호,사업장명,인허가일자,상세영업상태명,전화번호,소재지면적,지번주소,도로명주소,도로명우편번호,업태구분명,좌표정보(X),좌표정보(Y),점포구분명
3220000,2.00132E+18,갤러리아백화점(서관),1985-03-18,정상영업,234494305,15358,서울특별시 강남구 압구정동 494호,"서울특별시 강남구 압구정로 343 (압구정동, 갤러리아백화점)",135-902,백화점,203470.8484,447369.5799,
3010000,2.0143E+18,동화상가,19680730,정상영업,2265-9611,19023.64,,서울특별시 중구 장충단로13길 34 (을지로6가),100850,그 밖의 대규모점포,200543.7549,451888.0403,대규모점포
3060000,2.02331E+18,GS THE FRESH 중랑망우점,2023-04-04,정상영업,,151.47,서울특별시 중랑구 망우동 580 중랑숲금호어울림,"서울특별시 중랑구 양원역로 18, 103~106호 (망우동, 중랑숲금호어울림)",2063,복합쇼핑몰,209579.5427,455549.5894,
3070000,2.02331E+18,이마트에브리데이 길음점,2023-04-18,영업개시전,02-380-5042,828.69,서울특별시 성북구 길음동 1286-10 길음뉴타운9단지래미안 상가,"서울특별시 성북구 길음로7길 6, 길음뉴타운9단지래미안 상가 지하1층 B04~B08호 (길음동)",2721,구분없음,201912.4356,455775.861,
3050000,2.02331E+18,GS THE FRESH 동대문장안점,2023-03-14,영업개시전,02-2006-2364,307.23,서울특별시 동대문구 장안동 310-8 희헌빌딩,"서울특별시 동대문구 장한로28가길 45, 희헌빌딩 (장안동)",2523,구분없음,206341.5388,452530.0188,
3070000,2.02331E+18,이마트에브리데이 길음점,2023-04-18,영업개시전,02-380-5042,828.69,서울특별시 성북구 길음동 1286-10 길음뉴타운9단지래미안 상가,"서울특별시 성북구 길음로7길 6, 길음뉴타운9단지래미안 상가 지하1층 B04~B08호 (길음동)",2721,구분없음,201912.4356,455775.861,
3120000,2.02231E+18,이마트에브리데이 명지대점,20220405,정상영업,02-380-5042,998.27,서울특별시 서대문구 남가좌동 50-3 명지대학교,"서울특별시 서대문구 거북골로 34, 명지대학교 (남가좌동)",3674,구분없음,193139.5239,453106.0026,
3210000,2.00532E+18,신세계백화점 강남점,20150922,정상영업,02-3479-1005,60945.95,서울특별시 서초구 반포동 19번지 3호,서울특별시 서초구 신반포로 176 (반포동),,백화점,200250.4478,444683.2205,
3230000,2.02332E+18,GS THE FRESH 송파시그니처점,2023-02-01,정상영업,02-2006-2747,164.83,서울특별시 송파구 거여동 202-180 송파시그니처롯데캐슬,"서울특별시 송파구 거마로 56(거여동, 송파시그니처롯데캐슬)",5767,구분없음,213149.5228,443705.4731,
3230000,2.02332E+18,GS THE FRESH 송파하비오점,2023-02-27,정상영업,02-2006-2747,444.37,서울특별시 송파구 문정동 618 파크하비오,"서울특별시 송파구 송파대로 111, 하비오길동 제1층 호텔로 202동 (문정동, 파크하비오)",5837,구분없음,210868.3975,442053.2279,
3240000,2.01132E+18,롯데쇼핑㈜롯데슈퍼길동점,20111007,정상영업,2290-5853,282.65,서울특별시 강동구 길동 384번지 1호,서울특별시 강동구 성안로 176 (길동),134813,구분없음,211983.1816,448483.8891,
3100000,1.99831E+18,상계역전종합상가,19981231,정상영업,29314825,7863.67,서울특별시 노원구 상계동 173번지,서울특별시 노원구 한글비석로 396 (상계동),139748,쇼핑센터,206280.7899,462002.499,
3160000,2.02032E+18,이랜드리테일 NC구로점,20200626,정상영업,02-323-0456,49220.79,서울특별시 구로구 구로동 573,서울특별시 구로구 구로중앙로 152 (구로동),8292,백화점,189570.3609,444336.0513,
3180000,1.99132E+18,롯데백화점 영등포점,19910501,정상영업,226708832,53086.27,서울특별시 영등포구 영등포동 618번지 496호,,,백화점,191741.3458,445970.3076,
3080000,2.01131E+18,롯데쇼핑(주) 롯데마트 삼양점,20110909,정상영업,209441510,8319.26,서울특별시 강북구 미아동 1359번지,서울특별시 강북구 삼양로 247 (미아동),142100,복합쇼핑몰,201494.6273,458136.3423,
3020000,2.0223E+18,나진전자월드상가,20220629,정상영업,02-3670-0801,9879.92,서울특별시 용산구 한강로3가 1-1 나진상가,"서울특별시 용산구 청파로 109, 나진상가 14동 (한강로3가)",4370,전문점,196697.0311,447931.1083,
3200000,2.01432E+18,지에스 더 프레시(GS THE FRESH) 관악청림점,20220325,정상영업,02-877-6661,634.45,서울특별시 관악구 봉천동 1717-3 관악푸르지오,"서울특별시 관악구 청림6길 3, 관악푸르지오 상가동 110,113,114호 (봉천동)",8734,구분없음,196384.5443,442822.9803,
3120000,2.02131E+18,롯데프레시 홍은점,20211220,정상영업,02-373-5601,0,서울특별시 서대문구 홍은동 400-12,서울특별시 서대문구 가좌로 99(홍은동),3675,구분없음,193440.5499,453256.426,
3020000,2.0083E+18,나진산업 주식회사,19871110,정상영업,02-704-3013,11669.19,서울특별시 용산구 한강로3가 1번지 1호 나진상가,"서울특별시 용산구 청파로 109, 나진상가 (한강로3가)",4370,전문점,196697.0311,447931.1083,
3000000,2.0223E+18,GS THE FRESH 무악현대점,20220628,영업개시전,02-2006-2678,297,서울특별시 종로구 무악동 82 무악현대아파트,"서울특별시 종로구 통일로 246-10, 무악현대아파트 지하 1층 (무악동)",3025,대형마트,196467.9751,452566.134,
3030000,1.9623E+18,뚝도시장,19620125,정상영업,24644426,2861,서울특별시 성동구 성수동2가 335번지,서울특별시 성동구 성수이로 32-15 (성수동2가),4776,시장,204775.366,448395.5878,
3050000,2.02231E+18,청량리역 한양수자인 그라시엘 판매시설,20220711,영업개시전,02-721-8286,22467.67,서울특별시 동대문구 용두동 39-1,,,그 밖의 대규모점포,203728.1321,452778.8933,
3050000,2.00031E+18,경동시장,19600629,정상영업,02-967-8721,15540.7,서울특별시 동대문구 제기동 1019 경동시장,"서울특별시 동대문구 고산자로36길 3, 경동시장 (제기동)",2571,시장,203403.0195,452985.7254,
3190000,2.02232E+18,노량진 드림스퀘어,20220722,영업개시전,02-792-0653,8995.84,서울특별시 동작구 노량진동 16-1 노량진 드림스퀘어 복합빌딩,"서울특별시 동작구 노들로2길 7, 노량진 드림스퀘어 복합빌딩 (노량진동)",6900,그 밖의 대규모점포,194571.1524,445790.5499,
3020000,2.0223E+18,GS THE FRESH 용산이촌점,20220808,정상영업,02-2006-2364,321.65,서울특별시 용산구 이촌동 302-52 LG프라자,"서울특별시 용산구 이촌로 200, LG프라자 지하1층 (이촌동)",4427,구분없음,197221.4393,446524.5084,
3120000,2.02231E+18,이마트에브리데이 남가좌점,20220816,정상영업,02-380-5124,1133.21,서울특별시 서대문구 남가좌동 286-1 DMC금호리첸시아,"서울특별시 서대문구 수색로2길 39(남가좌동, DMC금호리첸시아)",3712,구분없음,192482.4165,452143.4915,
3040000,2.0223E+18,GS THE FRESH 광진구의점,20220713,정상영업,02-2006-2364,203.28,서울특별시 광진구 구의동 236-53 광진 더프레236,"서울특별시 광진구 자양로 168, 102호 (구의동, 광진 더프레236)",5038,구분없음,207400.6081,448930.6832,
3220000,2.02232E+18,GS THE FRESH 압구정점,20220915,정상영업,02 2006-2678,198,서울특별시 강남구 신사동 638-6,"서울특별시 강남구 압구정로 312, 신사동동 1층 (신사동)",6017,구분없음,203069.4412,447391.1304,
3180000,2.02232E+18,포레나당산동역세권청년주택 상업시설,20221214,정상영업,02-585-0580,5824.25,서울특별시 영등포구 당산동2가 45-5,,,그 밖의 대규모점포,190673.4089,446684.6501,
3100000,2.01131E+18,롯데쇼핑(주) 롯데슈퍼공릉점,20110621,정상영업,02-971-5601,397.7,서울특별시 노원구 공릉동 238번지 53호,"서울특별시 노원구 공릉로 144 (공릉동, 공릉빌딩)",1819,구분없음,206952.4441,457814.5296,
3100000,2.00531E+18,롯데백화점 노원점,20050826,정상영업,02950 2500,48227.17,서울특별시 노원구 상계동 713호,서울특별시 노원구 동일로 1414 (상계동),139708,백화점,205320.2848,461419.8818,
3010000,2.0143E+18,누죤,19960705,정상영업,02-6366-3056,19056.99,,서울특별시 중구 을지로45길 62 (신당동),100822,그 밖의 대규모점포,201092.2812,451637.9327,대규모점포
3070000,2.02231E+18,GS THE FRESH 성북클라시아점,20220418,영업개시전,02-2006-2678,186.6,서울특별시 성북구 길음동 508-16,"서울특별시 성북구 숭인로8길 80, 롯데캐슬클라시아 상가 101~104호 (길음동)",2730,구분없음,202328.5425,456302.2964,
3040000,2.0113E+18,(주)이마트에브리데이 중곡동점,20110922,정상영업,02-463-1903,662.55,서울특별시 광진구 중곡1동 229번지 5호,서울특별시 광진구 긴고랑로11길 11 (중곡동),143903,구분없음,207114.4989,451296.0494,
3040000,2.0123E+18,롯데 FRESH 아차산점,2012-03-21,정상영업,02-3437-5602,132.23,서울특별시 광진구 구의2동 49번지 4호,서울특별시 광진구 자양로 293 (구의동),143-817,구분없음,208075.5435,449971.642,
3100000,2.00931E+18,이천일아울렛 중계점,20090921,정상영업,02-948-2100,12287,서울특별시 노원구 중계2.3동 509번지 2001아울렛,서울특별시 노원구 동일로204가길 46 (중계동),139726,복합쇼핑몰,205931.0533,459884.1972,
3150000,2.02332E+18,(주)이마트에브리데이 가양역점,20230127,정상영업,2,876,서울특별시 강서구 등촌동 73-1 금부빌딩,"서울특별시 강서구 양천로 476, 금부빌딩 (등촌동)",7575,구분없음,186966.0362,451047.2873,
3140000,2.02231E+18,홈플러스 익스프레스 오목교점,20221004,영업개시전,02-3459-8016,254.4,서울특별시 양천구 신정동 86-1,서울특별시 양천구 목동동로 196(신정동),8010,구분없음,188565.0747,446750.8816,
3050000,2.01831E+18,노브랜드 경동시장점,20180125,정상영업,02-380-9461,441.1,서울특별시 동대문구 제기동 1019번지 신관 2층,"서울특별시 동대문구 고산자로36길 3, 2층 (제기동)",2571,구분없음,203403.0195,452985.7254,
3050000,2.01331E+18,베라체캠퍼스 에비뉴,20131127,정상영업,02-957-2116,3824.55,서울특별시 동대문구 회기동 346번지 18호,서울특별시 동대문구  이문로  37 (회기동),130050,그 밖의 대규모점포,204881.3132,454280.0406,
3140000,2.01231E+18,롯데쇼핑(주)롯데슈퍼 신월점,20120523,정상영업,226975602,263,서울특별시 양천구 신월5동 20번지 28호 외 1필지,"서울특별시 양천구 월정로46길 11 (신월동,외 1필지)",,구분없음,185164.5599,448756.0336,
3090000,2.01231E+18,롯데슈퍼 쌍문점,2012-03-15,정상영업,903-5601,705.1,서울특별시 도봉구 쌍문2동 19번지,서울특별시 도봉구 도당로 10 (쌍문동),132-858,구분없음,203048.6693,461867.6479,
3110000,2.00731E+18,엔씨백화점 불광점,20070411,정상영업,02-3417-2001,16972.65,서울특별시 은평구 대조동 240호,서울특별시 은평구 불광로 20 (대조동),,쇼핑센터,193661.7324,456379.1939,
3120000,2.01831E+18,롯데슈퍼 남가좌점,20211216,정상영업,02-308-5601,288.3,서울특별시 서대문구 남가좌동 381 DMC센트레빌,"서울특별시 서대문구 거북골로 120(남가좌동, DMC센트레빌)",3690,구분없음,192480.0294,452634.5577,
3090000,2.01231E+18,롯데슈퍼 창동점,20120318,정상영업,903-5602,197.7,서울특별시 도봉구 창1동 651번지 36호,서울특별시 도봉구 도봉로110길 65 (창동),132925,구분없음,203207.6253,460455.8376,
3090000,2.01231E+18,롯데슈퍼 방학점,20120315,정상영업,3491-4297,844.9,서울특별시 도봉구 방학3동 271번지 2호,서울특별시 도봉구 방학로 223 (방학동),132828,구분없음,202326.1758,462116.4086,
3070000,2.02231E+18,정릉시장상인회,20100315,정상영업,070-4126-0098,9954,서울특별시 성북구 정릉동 397-9 정릉시장 고객편의시설,"서울특별시 성북구 보국문로11길 18-19, 정릉시장 고객편의시설 (정릉동)",2709,시장,200729.8596,456347.6448,
3030000,2.0053E+18,(주)이마트 성수점,20050331,정상영업,02-3408-1234,17318,서울특별시 성동구 성수동2가 333번지 16호,서울특별시 뚝섬로 379,133120,대형마트,204614.2727,448607.4413,
3220000,2.02232E+18,이마트에브리데이 강남시장점,20220412,정상영업,23805042,794.7,서울특별시 강남구 신사동 510-11 강남상가아파트,"서울특별시 강남구 압구정로2길 46, 1층 (신사동, ---------)",6034,구분없음,201757.4941,446282.4545,
3180000,2.02132E+18,GS THE FRESH 신길사러가점,20211228,정상영업,02-2006-2676,561.4,서울특별시 영등포구 신길동 4902-6,"서울특별시 영등포구 신길로 162, 1층 일부 (신길동)",7362,구분없음,192108.9259,444944.1538,
3180000,2.00132E+18,이랜드리테일 당산점,20010620,정상영업,02-2630-0220,4447.16,서울특별시 영등포구 당산동5가 16번지 7호,서울특별시 영등포구 양평로 47 (당산동5가),150045,그 밖의 대규모점포,191177.5845,447965.6455,
3010000,2.0133E+18,(주)광희패션몰,19790525,정상영업,02-2238-4352,13458.03,서울특별시 중구 신당1동 777번지,서울특별시 중구 마장로1길 21 (신당동),,그 밖의 대규모점포,200982.7091,451817.384,
3120000,2.02131E+18,롯데슈퍼 창천점,20211220,정상영업,02-338-5601,357,서울특별시 서대문구 창천동 506-20 아륭빌딩,"서울특별시 서대문구 신촌로 13, 아륭빌딩 (창천동)",3785,구분없음,193624.0149,450696.745,
3010000,2.0143E+18,삼익패션타운,19851128,정상영업,02-756-7536,13793.3,,서울특별시 중구 남대문시장8길 7 (남창동),100804,그 밖의 대규모점포,198091.2021,450913.3407,대규모점포
3010000,2.0143E+18,중부시장,19590224,정상영업,02-2267-5617,20707,,서울특별시 중구 을지로36길 35 (오장동),100310,그 밖의 대규모점포,200091.1676,451433.5796,대규모점포
3010000,2.0143E+18,디자이너크럽,19940831,정상영업,02-2237-2503,7281.04,,서울특별시 중구 을지로45길 72 (신당동),100822,그 밖의 대규모점포,201075.6067,451683.0178,대규모점포
3010000,2.0143E+18,선싸인,19950401,정상영업,02-757-3421,3613.39,,서울특별시 중구 명동8가길 27 (충무로2가),100860,그 밖의 대규모점포,198737.5538,451081.8946,대규모점포
3010000,2.0143E+18,혜양엘리시움,19970224,정상영업,02-2250-1115,5590.74,,서울특별시 중구 마장로1길 18 (신당동),100887,그 밖의 대규모점포,201047.8997,451814.3504,대규모점포
3010000,2.0143E+18,남정종합상가,20020722,정상영업,02-757-3541,6752.63,,서울특별시 중구 소월로 9 (남창동),100804,그 밖의 대규모점포,197843.8207,450717.3536,대규모점포
3000000,2.0193E+18,낙원상가,20190917,정상영업,02-430-4200,25198.02,서울특별시 종로구 낙원동 288번지 낙원상가,"서울특별시 종로구 삼일대로 428, 낙원상가 506호 (낙원동)",3140,그 밖의 대규모점포,198838.913,452214.211,대규모점포
3000000,2.0193E+18,낙원상가,20190917,정상영업,02-743-6133,25198.02,서울특별시 종로구 낙원동 288번지 낙원상가,"서울특별시 종로구 삼일대로 428, 낙원상가 (낙원동)",3140,그 밖의 대규모점포,198838.913,452214.211,대규모점포
3000000,2.0123E+18,광장시장,19550705,정상영업,2267-0291,16128.75,서울특별시 종로구 예지동 6번지 1호,서울특별시 종로구 창경궁로 88 (예지동),110834,복합쇼핑몰,199837.4143,451974.1285,대규모점포
3010000,2.0143E+18,방산종합시장,19761129,정상영업,02-2268-6691,18500,,서울특별시 중구 동호로37길 20 (방산동),100812,그 밖의 대규모점포,200002.9527,451823.5325,
3000000,2.0113E+18,홈플러스(주)익스프레스 숭인점,20110816,정상영업,02-743-8546,273.3,서울특별시 종로구 숭인동 76번지 롯데캐슬천지인 1층,서울특별시 종로구 종로 347 (숭인동),110876,구분없음,201359.5335,452395.6591,준대규모점포
3000000,2.0043E+18,동대문종합시장D동상가,20041210,정상영업,222798751,11750,서울특별시 종로구 종로6가 270번지 3호 동대문종합시장D동상가,"서울특별시 종로구 종로 266, 동대문종합시장D동상가  동 (종로6가)",3198,그 밖의 대규모점포,200579.4098,452035.3477,준대규모점포
3010000,2.0163E+18,에이피엠플레이스,20160307,정상영업,02-777-1163,9272.66,,"서울특별시 중구 을지로 276 (을지로7가, apMPLACE)",4565,쇼핑센터,200673.0115,451443.2799,대규모점포
3110000,2.00731E+18,대림시장,20071221,정상영업,302-1666,3320,서울특별시 은평구 응암동 754번지 1호,,,시장,192661.6613,453828.586,대규모점포
3110000,2.00131E+18,양지시장,19721113,정상영업,02 3026729,,서울특별시 은평구 응암동 300번지 11 호   ,,,그 밖의 대규모점포,,,
3000000,2.0043E+18,(주)영풍문고,19920704,정상영업,02  519 2800,6906.53,서울특별시 종로구 서린동 33번지 영풍빌딩,서울특별시 종로구 청계천로 41 (서린동),110752,전문점,198351.8187,451921.603,
3010000,2.0103E+18,맥스타일,20101008,정상영업,2238-0981,17758.45,서울특별시 중구 신당1동 773번지,서울특별시 중구 마장로 3 (신당동),,전문점,200863.5941,451837.4816,
3010000,2.0173E+18,DDP FASHION MALL,20170323,정상영업,02-2290-7125,13006.43,,"서울특별시 중구 마장로 22 (신당동, DDP FASHION MALL)",4566,그 밖의 대규모점포,200999.3562,451654.4182,
3000000,2.0053E+18,종로세운상가,20050127,정상영업,222785356,,   호   ,,,대형마트,,,
3000000,2.0073E+18,효성주얼리시티,20070704,정상영업,02 7435390,9370.53,서울특별시 종로구 인의동 48번지 2호,"서울특별시 종로구 종로 183 (인의동, 효성주얼리시티)",3130,그 밖의 대규모점포,199812.6096,452132.6483,대규모점포
3010000,2.0163E+18,홈플러스익스프레스 신당점,20161007,정상영업,02-2236-8543,251.57,,서울특별시 중구 다산로 222 (신당동),4586,구분없음,201308.5365,451174.3655,준대규모점포
3000000,2.0073E+18,브라운스톤 창신상가,20070907,정상영업,763-0181,3393.77,서울특별시 종로구 창신동 23번지 76호 브라운스톤 창신,"서울특별시 종로구 지봉로 81 (창신동, 브라운스톤 창신)",3095,그 밖의 대규모점포,201258.0627,452787.1328,준대규모점포
3000000,1.9913E+18,동대문종합시장,19910731,정상영업,222620209,55081.94,서울특별시 종로구 종로6가 289번지 3 호,서울특별시 종로구 종로 266 (종로6가),110784,그 밖의 대규모점포,200717.749,452011.8651,대규모점포
3000000,2.0033E+18,동대문종합시장 신관,20031020,정상영업,222770114,4612.66,서울특별시 종로구 종로6가 289번지 57호,서울특별시 종로구 종로 272 (종로6가),110126,그 밖의 대규모점포,200647.0133,452054.7649,대규모점포
3000000,2.0143E+18,동문시장,19871030,정상영업,27644766,3660,,서울특별시 종로구 종로44길 14 (창신동),110842,시장,200908.3984,452025.3465,대규모점포
3000000,2.0103E+18,세운스퀘어,2010-02-18,정상영업,3413-0276,8390.2,서울특별시 종로구 인의동 112번지 2호,서울특별시 종로구 창경궁로 109 (인의동),110-410,그 밖의 대규모점포,199670.9799,452221.775,
3000000,2.0113E+18,홈플러스(주)익스프레스 광화문점,20111220,정상영업,27379994,432.9,서울특별시 종로구 신문로1가 24번지  고려빌딩 1층,"서울특별시  새문안로 91, 1층 (고려빌딩)",110796,대형마트,197700.034,452022.5035,준대규모점포
3000000,2.0033E+18,광장주식회사,20030304,정상영업,2267-0291,16128.75,서울특별시 종로구 예지동 6번지 1호,,,시장,199837.4143,451974.1285,
3010000,2.0173E+18,지에스수퍼마켓 중구만리점,20171031,정상영업,02-2006-3215,276.24,,"서울특별시 중구 만리재로 175, 401동 9,10,11호 (만리동2가)",4500,구분없음,,,준대규모점포
3010000,2.0213E+18,센터포인트 명동,20210716,정상영업,02-3452-2379,8767.97,서울특별시 중구 남대문로2가 9-1,,,쇼핑센터,198401.7013,451374.3122,
3010000,2.0023E+18,서울중앙시장,19621102,정상영업,757 3541,14330,,서울특별시 중구 퇴계로85길 22 (황학동),4576,그 밖의 대규모점포,201680.0675,451610.9622,대규모점포
3070000,2.01931E+18,길음시장,20190529,정상영업,02-912-9110,4612.41,"서울특별시 성북구 길음동 535번지8호, 535번지26호, 540번지2호",,,그 밖의 대규모점포,,,대규모점포
3000000,2.0043E+18,종로1번지아케이트,20040430,정상영업,02 3973445,4674.66,서울특별시 종로구 종로1가 1번지,서울특별시 종로구 종로 1 (종로1가),110714,복합쇼핑몰,197993.9046,452032.9586,대규모점포
3000000,2.0043E+18,영풍문고,20040430,정상영업,02 3995591,,서울특별시 종로구 서린동 33호   ,,,대형마트,198351.8187,451921.603,
3000000,2.0043E+18,동대문신발도매상가,20040630,정상영업,236760177,,서울특별시 종로구 창신동 436번지 79  호   ,,,그 밖의 대규모점포,,,
3000000,2.0203E+18,신설종합시장,19710325,정상영업,,1313,서울특별시 종로구 숭인동 206-9 신설종합시장 숭인동,"서울특별시 종로구 난계로27길 51, 신설종합시장 숭인동 (숭인동)",3117,시장,201727.6708,452264.4202,대규모점포
3000000,2.0213E+18,신설종합시장(주),19871030,정상영업,2234-7151,1313,서울특별시 종로구 숭인동 206-9 신설종합시장,"서울특별시 종로구 난계로27길 51, 신설종합시장 (숭인동)",3117,그 밖의 대규모점포,201727.6708,452264.4202,대규모점포
3010000,1.9643E+18,서울남대문시장,19641013,정상영업,02-753-2805,53845.06,서울특별시 중구 남창동 49번지,서울특별시 중구 남대문시장4길 21 (남창동),100060,그 밖의 대규모점포,197951.1506,450771.0878,대규모점포
3010000,1.9683E+18,팀204,19960704,정상영업,02-2232-3608,6140,,서울특별시 중구 마장로 30 (신당동),100886,그 밖의 대규모점포,201096.6813,451715.8304,대규모점포
3010000,1.9703E+18,통일상가,19700129,정상영업,02-2269-1967,15144,,"서울특별시 중구 청계천로 260-9 (을지로6가, 통일의류종합상가)",4563,그 밖의 대규모점포,200541.6377,451814.4595,대규모점포
3010000,1.9713E+18,진양상가,19711230,정상영업,222699891,10269.89,서울특별시 중구 충무로4가 120번지 3   호,서울특별시 중구 퇴계로 217 (충무로4가),,그 밖의 대규모점포,199571.5995,451124.8514,대규모점포
3010000,1.9773E+18,상제리제상가,19770623,정상영업,02-778-4611,9578,,서울특별시 중구 삼일대로 363 (장교동),100760,그 밖의 대규모점포,198744.4332,451677.0651,대규모점포
3010000,1.9803E+18,(주)에리어식스,19801016,정상영업,222384914,4203.03,서울특별시 중구 신당동 776호,서울특별시 중구 마장로 19 (신당동),,그 밖의 대규모점포,200989.6866,451762.2615,대규모점포
3010000,1.9943E+18,우일타운,20090908,정상영업,2236-8027,4097.54,서울특별시 중구 흥인동 3번지 4호,서울특별시 중구 다산로 274 (흥인동),,전문점,201390.6235,451682.9244,대규모점포
3010000,2.0093E+18,대림상가,19720918,정상영업,2278-5191,10041.58,서울특별시 중구 을지로4가 9번지 6호,서울특별시 중구 을지로 157 (을지로4가),,그 밖의 대규모점포,199534.3297,451608.2229,대규모점포
3010000,2.0143E+18,아트프라자,19900604,정상영업,02-2232-2000,4448,,서울특별시 중구 마장로1길 28 (신당동),100887,그 밖의 대규모점포,201070.9794,451874.6375,대규모점포
3010000,2.0143E+18,남산타운5상가,20000707,정상영업,02-2256-3500,6954.85,,서울특별시 중구 다산로 32 (신당동),100754,그 밖의 대규모점포,200984.7137,449703.2398,대규모점포
3010000,2.0103E+18,올레오,2006-10-23,정상영업,02-2230-8200,8119,서울특별시 중구 신당1동 213번지 8호,서울특별시 중구 마장로1길 22 (신당동),,쇼핑센터,201040.3526,451852.1426,
3010000,2.0143E+18,남산타운2상가,20000707,정상영업,02-2256-3500,5268.33,,서울특별시 중구 다산로 32 (신당동),100754,그 밖의 대규모점포,200984.7137,449703.2398,대규모점포
3010000,2.0143E+18,현대시티타워,19960831,정상영업,02-2073-5111,33008.72,,서울특별시 중구 장충단로 13-20 (을지로6가),100851,쇼핑센터,,,대규모점포
3010000,2.0143E+18,하이해리엇,20060317,정상영업,02-2079-0950,4944.51,,서울특별시 중구 퇴계로 123 (충무로2가),100861,그 밖의 대규모점포,198636.2504,451005.7216,대규모점포
3010000,2.0113E+18,통일상가,19700129,정상영업,02-2269-1969,15144,서울특별시 중구 을지로6가 17번지,서울특별시 중구 장충단로13길 20 (을지로6가),100726,그 밖의 대규모점포,200613.5103,451817.5154,대규모점포
3010000,2.0123E+18,제일평화시장,19811027,정상영업,222526744,9629.48,,서울특별시 중구 마장로 13 (신당동),100837,그 밖의 대규모점포,200938.5281,451798.0031,대규모점포
3010000,2.0123E+18,롯데아울렛 서울역점,20121227,정상영업,02-7262500,11576.19,서울특별시 중구 봉래동2가 122번지 11호,서울특별시 중구 한강대로 405 (봉래동2가),,쇼핑센터,197230.2061,450446.6844,대규모점포
3010000,2.0123E+18,롯데아울렛 서울역점,19990901,정상영업,02-390-4015,11576.19,서울특별시 중구 봉래동2가 120번지 11호,서울특별시 중구 한강대로 405 (봉래동2가),100162,쇼핑센터,197364.6268,450397.3696,대규모점포
3010000,2.0143E+18,(주)지에스리테일 남산타운점,20140110,정상영업,02-2006-2156,492.56,,서울특별시 중구 다산로 32 (신당동),100450,그 밖의 대규모점포,200984.7137,449703.2398,준대규모점포
