사업장명,전화번호,도로명주소,위도,경도,법정동
가톨릭대학교 여의도성모병원,1661-7575,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",37.51827234,126.9367313,서울특별시 영등포구 여의도동
명지성모병원,02-1899-1475,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",37.49385071,126.8992545,서울특별시 영등포구 대림동
한림대학교 한강성심병원,02-2639-5114,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",37.52346675,126.91033,서울특별시 영등포구 영등포동7가
대림성모병원,02-829-9000,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",37.49068925,126.9071695,서울특별시 영등포구 대림동
한림대학교 강남성심병원,02-829-5114,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",37.49324929,126.9086725,서울특별시 영등포구 대림동
성애의료재단 성애병원,02-840-7114,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",37.51205045,126.9223673,서울특별시 영등포구 신길동
씨엠병원,02-2678-0001,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",37.51884833,126.9036798,서울특별시 영등포구 영등포동4가
순천향대학교 부속 서울병원,02-709-9114,서울특별시 용산구 대사관로 59 (한남동),37.53384172,127.004418,서울특별시 용산구 한남동
가톨릭대학교 은평성모병원,02-1811-7755,서울특별시 은평구 통일로 1021 (진관동),37.63360841,126.9161505,서울특별시 은평구 진관동
의료법인 청구성심병원,02-350-3300,서울특별시 은평구 통일로 873 (갈현동),37.62079154,126.919554,서울특별시 은평구 갈현동
서울대학교병원,1588-5700,서울특별시 종로구 대학로 101 (연건동),37.57966609,126.9989631,서울특별시 종로구 연건동
강북삼성병원,02-2001-2001,서울특별시 종로구 새문안로 29 (평동),37.56849763,126.9679381,서울특별시 종로구 평동
서울적십자병원,02-2002-8000,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",37.56715536,126.9669986,서울특별시 종로구 평동
세란병원,02-737-0181,서울특별시 종로구 통일로 256 (무악동),37.57534017,126.9577072,서울특별시 종로구 무악동
인제대학교 서울백병원,02-2270-0114,서울특별시 중구 마른내로 9 (저동2가),37.56507317,126.9888453,서울특별시 중구 저동2가
국립중앙의료원,222607114,서울특별시 중구 을지로 245 (을지로6가),37.56733956,127.0057954,서울특별시 중구 을지로6가
의료법인 풍산의료재단동부제일병원,02-437-5011,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",37.60067565,127.1090292,서울특별시 중랑구 망우동
녹색병원,02-490-2000,서울특별시 중랑구 사가정로49길 53 (면목동),37.58362084,127.0860555,서울특별시 중랑구 면목동
서울특별시서울의료원,02-2276-7000,서울특별시 중랑구 신내로 156 (신내동),37.61286932,127.0980911,서울특별시 중랑구 신내동
