개방자치단체코드,관리번호,인허가일자,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
3200000,3200000-102-2000-10592,2000-10-26,,,,,02  883 4026,73.67,151-892,서울특별시 관악구 신림동 1431-1,"서울특별시 관악구 신림로 373, 지하1층 (신림동)",8760,썸씽노래빠,룸살롱,193610.3786,442802.9236
3180000,3180000-102-2021-00002,2021-09-13,,,,,,166,150-890,서울특별시 영등포구 여의도동 44-35 제일빌딩,"서울특별시 영등포구 여의대방로 379, 제일빌딩 지하1층 001,002호 (여의도동)",7333,골드스타(Gold스타),룸살롱,193818.1801,446332.0898
3230000,3230000-102-2017-00002,2017-04-28,,,,,,132.79,138-803,서울특별시 송파구 가락동 79-4,"서울특별시 송파구 송파대로28길 20, 지하1층 106호 (가락동)",5718,폭스,룸살롱,210562.9008,443555.8647
3050000,3050000-102-1984-08492,1984-11-23,,,,,,147.5,130-840,서울특별시 동대문구 장안동 366-6,"서울특별시 동대문구 장한로 106, 2층 (장안동)",2639,텐프로 빠,룸살롱,206162.9863,451957.4967
3200000,3200000-102-2007-00004,2007-09-28,,,,,02  882 0778,82.52,151-848,서울특별시 관악구 봉천동 857-5 외 1필지 지하1층,"서울특별시 관악구 관악로 174 (봉천동,외 1필지 지하1층)",8788,텔미노래바,비어(바)살롱,195766.887,442051.4127
3140000,3140000-102-1999-06935,1999-06-07,,,,,226532991,105.33,158-050,서울특별시 양천구 목동 923 세신비젼프라자 3층 306~309호,"서울특별시 양천구 목동서로 213, 세신비젼프라자 3층 306~309호 (목동)",7995,캉캉노래바,룸살롱,188494.599,447318.6605
3180000,3180000-102-2008-00010,2008-09-23,,,,,,96.42,150-033,서울특별시 영등포구 영등포동3가 23-8,,,브이아이피(VIP),룸살롱,191900.8897,446178.4263
3110000,3110000-102-2013-00005,2013-11-27,,,,,,62.74,122-842,서울특별시 은평구 대조동 198-5 지층,"서울특별시 은평구 연서로 220 (대조동, 지층)",3385,디바노래밤,룸살롱,192884.9471,457304.5887
3150000,3150000-102-2017-00001,20170524,,,,,,184.43,157928,서울특별시 강서구 화곡동 1117-7 (지하 1층 중 2층),"서울특별시 강서구 공항대로46길 90, 지일중 이층 (화곡동, 6동)",7658,밀크노래타운2,간이주점,186742.6244,450021.6833
3000000,3000000-102-2010-00007,20100730,,,,,02  747 9955,99.17,110835,서울특별시 종로구 종로5가 38-1 지상1층,"서울특별시 종로구 종로35길 5, 지상1층 (종로5가)",3126,단밤,룸살롱,200263.9717,452127.9204
3170000,3170000-102-1978-00891,19780203,,,,,02  861 0031,85.56,153823,서울특별시 금천구 독산동 951-4,"서울특별시 금천구 남부순환로 1372, 지하1층 (독산동)",8537,헤네시룸비지니스,룸살롱,191389.0277,441916.0816
3100000,3100000-102-2000-06842,20000426,,,,,02 9398184,160.68,139942,서울특별시 노원구 상계동 706-1 2층,"서울특별시 노원구 노해로75길 20-21 (상계동,2층)",1689,솜사탕,룸살롱,205084.1465,461402.6071
3220000,3220000-102-2016-00006,2016-09-01,,,,,,502.65,135-513,서울특별시 강남구 역삼동 701-1 역삼 아르누보씨티,"서울특별시 강남구 언주로 506, 역삼 아르누보씨티 지하1층 101호 (역삼동)",6152,더,룸살롱,203716.9381,444579.034
3220000,3220000-102-2013-00002,2013-06-18,,,,,7077223567,799.34,135-513,서울특별시 강남구 역삼동 701-1 지하2층,"서울특별시 강남구 언주로 506, 지하2층 (역삼동)",6152,글로리,관광호텔나이트(디스코),203716.9381,444579.034
3060000,3060000-102-2007-00002,2007-06-13,,,,,,57.15,131-859,서울특별시 중랑구 상봉동 89-17,"서울특별시 중랑구 봉우재로33길 79 (상봉동, 3층)",2149,수,룸살롱,207834.3873,454817.8397
3200000,3200000-102-2010-00006,2010-09-24,,,,,,83.34,151-892,서울특별시 관악구 신림동 1431-16,"서울특별시 관악구 신림로 359, 지하1층 (신림동)",8760,야구장 노래클럽,룸살롱,193657.2275,442684.6773
3200000,3200000-102-2004-00007,2004-11-30,,,,,02  878 8646,56.56,151-890,서울특별시 관악구 신림동 1422-20,"서울특별시 관악구 남부순환로181길 6 (신림동, 지하1층)",8754,스머프,룸살롱,193838.0057,442520.948
3230000,3230000-102-2006-00003,2006-11-03,,,,,,97.17,138-861,서울특별시 송파구 잠실동 183-9,서울특별시 송파구 백제고분로7길 51 (잠실동),5558,부킹노래바Q,룸살롱,207417.9449,445410.8511
3110000,3110000-102-2012-00003,20120417,,,,,,61.59,122837,서울특별시 은평구 대조동 15-80,"서울특별시 은평구 통일로65길 20-2, 지하1층 (대조동)",3397,홍콩노래밤,기타,193629.1746,456303.7491
3160000,3160000-102-2001-08837,2001-10-08,,,,,226135023,36.17,152-889,서울특별시 구로구 오류동 6-304,서울특별시 구로구 경인로 174 (오류동),8271,수박 노래빠,카바레,185838.9131,443594.3636
3010000,3010000-102-2007-00012,2007-08-24,,,,,02  22667949,64.73,100-300,서울특별시 중구 초동 53-22 (지상2층),"서울특별시 중구 마른내로2길 27 (초동,(지상2층))",4555,제시 노래클럽,룸살롱,199198.6497,451216.4226
3200000,3200000-102-2017-00001,2017-01-09,,,,,,62.87,151-892,서울특별시 관악구 신림동 1432-76,"서울특별시 관악구 신림로 351, 지하1층 (신림동)",8760,사탕노래빠,룸살롱,193671.1809,442608.257
3220000,3220000-102-2021-00001,20210709,,,,,,452.1,135876,서울특별시 강남구 삼성동 142-29,"서울특별시 강남구 선릉로92길 38, 제이빌딩 9~10층 (삼성동)",6160,"파티앤하이킥 9,10",룸살롱,204512.9899,444870.8103
3150000,3150000-102-2022-00006,20221114,,,,,,444.3,157928,서울특별시 강서구 화곡동 1117-10 지하1층,"서울특별시 강서구 화곡로 318-1, 지하1층 (화곡동)",7658,강구 별밤,노래클럽,186712.752,450014.9056
3200000,3200000-102-2019-00005,20190910,,,,,,68.57,151930,서울특별시 관악구 신림동 1640-30,"서울특별시 관악구 남부순환로176길 11, 지하1층 (신림동)",8776,여우노래빠,룸살롱,193612.2494,442364.8843
3090000,3090000-102-2018-00001,20180503,,,,,02 9032861,92,132898,서울특별시 도봉구 창동 3-3 3층 303호,"서울특별시 도봉구 마들로11길 73, 3층 303호 (창동)",1414,스타비어,노래클럽,204263.7065,461207.2447
3080000,3080000-102-2021-00001,2021-06-30,,,,,,90.42,142-891,서울특별시 강북구 수유동 7-4,"서울특별시 강북구 수유로 84, 지하 1층 (수유동)",1081,뉴욕 노래주점,룸살롱,201946.3111,459304.7718
3220000,3220000-102-2016-00010,20161201,,,,,02  539 7423,567.7,135923,서울특별시 강남구 역삼동 735-11 지하1층,서울특별시 강남구 논현로87길 41 (역삼동),6235,라이징,룸살롱,202890.7014,444070.4441
3220000,3220000-102-2016-00009,20161115,,,,,,324.09,135923,서울특별시 강남구 역삼동 735-11 지하1층,서울특별시 강남구 논현로87길 지하 41 (역삼동),,라디오,룸살롱,202890.7014,444070.4441
3220000,3220000-102-1986-04329,1986-04-22,,,,,02 3443 7228,456.95,135-890,서울특별시 강남구 신사동 561-30,서울특별시 강남구 도산대로 159 (신사동),6037,추카추카,카바레,202207.5706,446324.5871
3110000,3110000-102-2018-00003,2018-02-05,,,,,,115.65,122-858,서울특별시 은평구 불광동 281-172,"서울특별시 은평구 통일로 720, 2층 (불광동)",3368,행복노래밤,룸살롱,193802.2675,456419.664
3240000,3240000-102-2011-00002,2011-03-03,,,,,02  474 5051,217.39,134-814,서울특별시 강동구 길동 459,서울특별시 강동구 천호대로177길 10 (길동),5355,신바람,룸살롱,212091.8416,448085.318
3150000,3150000-102-2020-00004,2020-12-30,,,,,,73.65,157-910,서울특별시 강서구 화곡동 935-1,"서울특별시 강서구 곰달래로16길 32, 2층 (화곡동)",7775,궁전노래바,룸살롱,185803.6118,447396.4592
3110000,3110000-102-1973-05118,1973-12-07,,,,,02 3870514,97.33,122-906,서울특별시 은평구 응암동 96-14 (지층),"서울특별시 은평구 은평로 166 (응암동,(지층))",3462,금수저 노래팡,비어(바)살롱,193408.8786,455423.6338
3150000,3150000-102-2022-00001,2022-01-06,,,,,,77.5,157-909,서울특별시 강서구 화곡동 901-15 시온빌딩 401호,"서울특별시 강서구 강서로7길 35, 시온빌딩 401호 (화곡동)",7777,도도(DODO),룸살롱,186301.6878,447468.616
3030000,3030000-102-2001-06858,2001-05-24,,,,,222425586,64.2,133-850,서울특별시 성동구 용답동 233-6,"서울특별시 성동구 천호대로 426, 지층 (용답동, 233-6)",4808,폭스,룸살롱,205779.0874,450956.8478
3220000,3220000-102-1982-04306,1982-06-10,,,,,02 5445188,430,135-831,서울특별시 강남구 논현동 237-5,서울특별시 강남구 언주로 605 (논현동),6109,웸블리,룸살롱,203219.1661,445239.4052
3010000,3010000-102-2015-00004,20151123,,,,,,52.15,100080,서울특별시 중구 북창동 118 2층,"서울특별시 중구 남대문로1길 16 (북창동, 2층)",4526,폭스,노래클럽,197958.2625,451056.1464
3000000,3000000-102-2009-00007,2009-05-29,,,,,,53.63,110-126,서울특별시 종로구 종로6가 244-15,서울특별시 종로구 종로39길 10-1 (종로6가),3125,탈랜트,룸살롱,200487.2698,452159.9004
3210000,3210000-102-2009-00001,2009-04-22,,,,,02  514 6700,2225.33,137-903,"서울특별시 서초구 잠원동 18-5 외4필지 지하2,3층","서울특별시 서초구 나루터로 64 (잠원동,외4필지 지하2,3층)",6527,유앤미,룸살롱,201428.5176,445869.9511
3080000,3080000-102-2010-00004,20101119,,,,,02  905 5551,405.52,142878,서울특별시 강북구 수유동 229-5,서울특별시 강북구 도봉로 333 (수유동),1073,럭셔리 별밤 소주호프 뮤직타운,간이주점,202139.3266,459501.1472
3180000,3180000-102-2022-00003,20221122,,,,,,69.74,150889,서울특별시 영등포구 여의도동 43-1 유성빌딩,"서울특별시 영등포구 여의대방로69길 28, 유성빌딩 지1층 8호 (여의도동)",7333,아라,룸살롱,193759.9057,446582.5569
3180000,3180000-102-2022-00004,20221122,,,,,,64.16,150889,서울특별시 영등포구 여의도동 43-1 유성빌딩,"서울특별시 영등포구 여의대방로69길 28, 유성빌딩 지1층 1호 (여의도동)",7333,다이아,룸살롱,193759.9057,446582.5569
3180000,3180000-102-2008-00003,20080110,,,,,,79.71,150033,서울특별시 영등포구 영등포동3가 7-52,서울특별시 영등포구 영중로10길 10-1 (영등포동3가),7302,가노래,룸살롱,191663.8259,446313.2761
3180000,3180000-102-1988-02620,19880229,,,,,02 7806777,67.3,150890,서울특별시 영등포구 여의도동 44-14,서울특별시 영등포구 여의대방로 383 (여의도동),7333,여명,룸살롱,193870.8129,446351.9742
3010000,3010000-102-2009-00003,20090721,,,,,,39.67,100300,서울특별시 중구 초동 40-4 지상2층,"서울특별시 중구 충무로 26-1 (초동,지상2층)",4556,별빛,기타,199325.0134,451250.997
3220000,3220000-102-2008-00014,20081021,,,,,,313.99,135876,"서울특별시 강남구 삼성동 142-29 지상2,3층","서울특별시 강남구 선릉로92길 38 (삼성동,지상2,3층)",6160,"파티앤하이킥 2,3",룸살롱,204512.9899,444870.8103
3000000,3000000-102-1999-10570,19990715,,,,,222743343,93.6,110420,서울특별시 종로구 관수동 154-1 1층,"서울특별시 종로구 수표로 83, 1층 (관수동)",3191,황궁,룸살롱,198991.0028,451828.2224
3000000,3000000-102-2002-00023,20020930,,,,,02 7417324,58.14,110807,서울특별시 종로구 돈의동 19 (지하1층),"서울특별시 종로구 돈화문로11다길 9 (돈의동,(지하1층))",3133,링크(LINK),룸살롱,199094.8142,452287.6943
3200000,3200000-102-2001-11342,2001-12-21,,,,,02  886 9492,92.43,151-930,서울특별시 관악구 신림동 1639-16,서울특별시 관악구 남부순환로 1592-5 (신림동),8776,히어로,룸살롱,193551.2357,442377.4147
3160000,3160000-102-2012-00001,2012-01-05,,,,,,73.99,152-892,서울특별시 구로구 오류동 33-73 지하1층,"서울특별시 구로구 경인로 228, 지하1층 (오류동)",8271,진주노래바,룸살롱,186330.5058,443857.1464
3000000,3000000-102-2004-00010,2004-04-29,,,,,,75.2,110-320,서울특별시 종로구 낙원동 173-1 지상2층,"서울특별시 종로구 수표로 116 (낙원동,지상2층)",3139,대가,룸살롱,198994.5883,452137.4383
3110000,3110000-102-2001-07908,2001-05-10,,,,,02 3853025,70.75,122-837,서울특별시 은평구 대조동 15-84 지하1 층,"서울특별시 은평구 통일로65길 24, 지하1층 (대조동)",3397,볼보노래밤,룸살롱,193609.7075,456302.641
3000000,3000000-102-2004-00002,20040302,,,,,,124.11,110826,서울특별시 종로구 숭인동 313-8 지하1층,"서울특별시 종로구 지봉로 26-1, 지하1층 (숭인동)",3114,리치,룸살롱,201335.6963,452231.3295
3010000,3010000-102-2002-00058,20021218,,,,,02 7522032,73.27,100080,서울특별시 중구 북창동 67-0 (2층),"서울특별시 중구 남대문로1길 36 (북창동,(2층))",4526,블링블링2,룸살롱,197940.657,451160.1579
3200000,3200000-102-2002-00002,20020307,,,,,,70.02,151890,서울특별시 관악구 신림동 1423-28,"서울특별시 관악구 봉천로12길 69, 지하1층 (신림동)",8754,루비,룸살롱,193767.9354,442617.3761
3170000,3170000-102-1999-05865,19990612,,,,,02 8966652,89.19,153858,서울특별시 금천구 시흥동 889-13 지하1층 (시흥대로 475),"서울특별시 금천구 시흥대로 212 (시흥동,지하1층 (시흥대로 475))",8628,준노래,룸살롱,191230.1831,438962.5606
3050000,3050000-102-1984-08482,19841107,,,,,222464624,211.79,130840,서울특별시 동대문구 장안동 366-6 지하1층,"서울특별시 동대문구 장한로 106, 지하1층 (장안동)",2639,25시 노래방,룸살롱,206162.9863,451957.4967
3130000,3130000-102-1999-08033,1999-12-14,,,,,02  324 3390,130.54,121-838,서울특별시 마포구 서교동 354-2,"서울특별시 마포구 홍익로 29 (서교동, 지하1층)",4038,파레스 노래타운,룸살롱,193011.9823,450260.4912
3200000,3200000-102-2000-10140,20000221,,,,,02 8594657,152.6,151875,서울특별시 관악구 신림동 527-11,서울특별시 관악구 난곡로66길 14 (신림동),8761,자이노래빠,룸살롱,192431.866,442261.6685
3120000,3120000-102-1991-02714,19910727,,,,,02 3933738,43.4,120070,서울특별시 서대문구 영천동 325,"서울특별시 서대문구 통일로 189, 지하1층 (영천동)",3734,와이키키 노래천국,비어(바)살롱,196567.5323,451997.8196
3240000,3240000-102-1999-10676,19990618,,,,,02 4835077,93.12,134814,서울특별시 강동구 길동 450-1,서울특별시 강동구 천호대로175길 11-8 (길동),5355,플레이,룸살롱,211985.558,448157.1963
3120000,3120000-102-1973-02724,19731006,,,,,02  396 7869,222.12,120857,서울특별시 서대문구 홍제동 305-3,"서울특별시 서대문구 통일로 452, 지층 (홍제동)",3629,마징가 Live & 노래장,룸살롱,194985.0627,454102.0743
3220000,3220000-102-2019-00005,20190917,,,,,,249.46,135877,서울특별시 강남구 삼성동 143-27,"서울특별시 강남구 테헤란로77길 9, 5층 (삼성동)",6159,씨엔엔CNN5,룸살롱,204738.8653,444986.1082
3000000,3000000-102-2003-00009,2003-06-19,,,,,236725257,67.51,110-842,서울특별시 종로구 창신동 444-9 임진빌딩,"서울특별시 종로구 종로46길 22, 임진빌딩 지하1층 (창신동)",3119,앵콜 노래빠,룸살롱,200833.1214,452040.3239
3010000,3010000-102-2001-13980,20011030,,,,,222358777,77.75,100870,서울특별시 중구 황학동 809 지상 2층,"서울특별시 중구 난계로11길 6 (황학동,지상 2층)",4575,아이비노래클럽,룸살롱,201978.0741,451518.3053
3200000,3200000-102-2023-00001,2023-02-03,,,,,,95.21,151-834,서울특별시 관악구 봉천동 851-30,"서울특별시 관악구 관악로 192, 지층 (봉천동)",8737,청개구리,노래클럽,195829.409,442222.7869
3200000,3200000-102-2000-10900,2000-07-13,,,,,02 8679818,94.14,151-903,서울특별시 관악구 신림동 1655-9,"서울특별시 관악구 시흥대로 566, 지하1층 (신림동)",8769,B투B룸비지니스,룸살롱,191307.7511,442331.0971
3210000,3210000-102-2013-00001,2013-06-27,,,,,02  535 2537,438.52,137-856,서울특별시 서초구 서초동 1308-10,서울특별시 서초구 서초대로77길 37 (서초동),6612,플레이 뮤직타운,기타,202148.8423,444308.8291
3200000,3200000-102-2012-00004,20120601,,,,,02 882 8590,272,151930,서울특별시 관악구 신림동 1640-2,서울특별시 관악구 남부순환로 1600 (신림동),8776,논다노래타운 신림점,간이주점,193606.5154,442399.59
3000000,3000000-102-2014-00006,2014-12-22,,,,,02  745 6161,105.73,110-410,서울특별시 종로구 인의동 73 지하1층,"서울특별시 종로구 창경궁로 125, 지하1층 (인의동)",3136,쑤니,룸살롱,199697.0972,452368.8203
3000000,3000000-102-2006-00007,2006-04-26,,,,,222538858,228.54,110-825,서울특별시 종로구 숭인동 200-33 지하1층,"서울특별시 종로구 종로 382, 지하1층 (숭인동)",3115,발리노래팡,룸살롱,201687.5739,452408.3468
3110000,3110000-102-2000-07311,20000614,,,,,,73.82,122808,서울특별시 은평구 갈현동 395-28,서울특별시 은평구 통일로 863-8 (갈현동),3330,벤츠,룸살롱,192841.2925,457500.73
3080000,3080000-102-2013-00001,20130709,,,,,02  902 5550,78.3,142878,서울특별시 강북구 수유동 191-15,서울특별시 강북구 도봉로 343 (수유동),1074,빠리,룸살롱,202206.6782,459574.0708
3240000,3240000-102-2009-00002,20090407,,,,,02  471 7044,96.33,134880,서울특별시 강동구 길동 387-7,"서울특별시 강동구 양재대로111길 28, 1층 (길동)",5353,에쿠스,룸살롱,212139.6819,448366.8107
3230000,3230000-102-2005-00003,20050503,,,,,,127.3,138805,서울특별시 송파구 가락동 99-2 지상2층,"서울특별시 송파구 송파대로28길 6, 지상2층 (가락동)",5719,쩐,룸살롱,210456.9321,443484.5956
3030000,3030000-102-1980-01100,19800411,,,,,02 4614090,156.85,133836,서울특별시 성동구 송정동 66-196,서울특별시 성동구 광나루로 323 (송정동),4801,빵빵,룸살롱,205733.9535,449576.2044
3000000,3000000-102-1974-08230,1974-04-29,,,,,222654121,643.87,110-430,서울특별시 종로구 장사동 227-1,서울특별시 종로구 청계천로 137 (장사동),3193,센추럴비즈니스,고고(디스코)클럽,199302.8185,451834.8172
3150000,3150000-102-2018-00002,20180112,,,,,,85.65,157210,서울특별시 강서구 마곡동 795-6 뉴골든타워 (지상 5층) 502-1호,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 5층 502-1호 (마곡동)",7803,여기서 놀자,룸살롱,185553,450880
3230000,3230000-102-2018-00001,20180629,,,,,,36.3,138803,서울특별시 송파구 가락동 79-4 세화빌딩,"서울특별시 송파구 송파대로28길 20, 세화빌딩 지하1층 102,103호 (가락동)",5718,뉴홍콩,간이주점,210562.9008,443555.8647
3110000,3110000-102-2016-00003,20160610,,,,,,70.11,122924,서울특별시 은평구 응암동 599-3,서울특별시 은평구 응암로13길 11-4 (응암동),3485,클레오 노래바,룸살롱,192527.1381,454091.3817
3000000,3000000-102-2012-00001,20120413,,,,,02  22611278,,110836,서울특별시 종로구 종로5가 231-1번지 (지상2층) ,"서울특별시 종로구 종로 244-1, 지상2층 (종로5가)",3197,둥지,요정,200365.8523,452054.0146
3230000,3230000-102-2014-00001,20140321,,,,,,79.47,138827,서울특별시 송파구 방이동 34-4,"서울특별시 송파구 올림픽로32길 4, 지하동 1층 (방이동)",5542,? 뮤직타운,룸살롱,209542.7468,445930.6216
3000000,3000000-102-1999-10879,1999-11-20,,,,,02 7441607,35.2,110-836,서울특별시 종로구 종로5가 231-25,서울특별시 종로구 종로38길 6 (종로5가),3197,호박,룸살롱,200365.066,452034.6679
3230000,3230000-102-2000-15917,20001201,,,,,02 4181642,98.61,138827,서울특별시 송파구 방이동 34-8 지상2층,"서울특별시 송파구 올림픽로32길 12, 지상2층 (방이동)",5542,놀이터,룸살롱,209563.782,445868.6655
3180000,3180000-102-2002-00006,20020410,,,,,02 8435001,89.26,150839,서울특별시 영등포구 신길동 95-62 지하1층,"서울특별시 영등포구 영등포로 370 (신길동, 지하1층)",7352,올레,룸살롱,192773.5956,445737.8762
3230000,3230000-102-2014-00005,20141128,,,,,,99.76,138805,서울특별시 송파구 가락동 99-1 지하1층,"서울특별시 송파구 송파대로28길 12, 지하1층 (가락동)",5719,루키,룸살롱,210491.6889,443508.2212
3220000,3220000-102-1999-04236,19991005,,,,,02  512 8585,172.56,135897,서울특별시 강남구 신사동 664-7,서울특별시 강남구 선릉로 843 (신사동),6018,피플,룸살롱,203483.2171,447221.7146
3080000,3080000-102-2001-00031,2001-01-03,,,,,02 9031766,64.39,142-878,서울특별시 강북구 수유동 191-58,서울특별시 강북구 한천로139길 9 (수유동),1074,황진이,룸살롱,202254.1614,459696.5524
3220000,3220000-102-2001-22992,20010119,,,,,02 5460888,278.69,135734,서울특별시 강남구 논현동 84-0 송암빌딩,"서울특별시 강남구 언주로 709 (논현동,송암빌딩)",6053,어텐션,비어(바)살롱,203008.1465,446054.4113
3010000,3010000-102-2006-00005,2006-06-20,,,,,02  742 3335,96.36,100-411,서울특별시 중구 광희동1가 98-0 (지하1층),"서울특별시 중구 마른내로 155-1 (광희동1가,(지하1층))",4561,스카이노래,기타,200411.5221,451397.5414
3010000,3010000-102-1999-11913,1999-04-28,,,,,,73.79,100-310,서울특별시 중구 오장동 139-8,서울특별시 중구 마른내로 125 (오장동),4547,슈가,룸살롱,200096.3491,451381.7035
3240000,3240000-102-2001-12105,20010102,,,,,02 4850770,292.35,134814,서울특별시 강동구 길동 413-51,서울특별시 강동구 진황도로 105 (길동),5353,퍼즐,카바레,212142.2298,448155.7129
3220000,3220000-102-2000-22434,20000908,,,,,02 5143738,125.27,135830,서울특별시 강남구 논현동 241-16,서울특별시 강남구 학동로50길 7 (논현동),6099,멜로디,룸살롱,203472.0061,446003.9858
3220000,3220000-102-1986-04337,19860605,,,,,02 5653301,360.72,135911,서울특별시 강남구 역삼동 648-3,"서울특별시 강남구 강남대로94길 54, 지하1층 (역삼동)",6133,무한연장,룸살롱,202731.8841,444237.1288
3220000,3220000-102-2022-00002,20220420,,,,,,81.49,135821,서울특별시 강남구 논현동 118-17 세한빌딩 지하1층,"서울특별시 강남구 학동로 339, 세한빌딩 지하1층 (논현동)",6060,두꺼비,룸살롱,203483.6494,446102.2361
3010000,3010000-102-2005-00013,2005-08-25,,,,,,88.17,100-013,서울특별시 중구 충무로3가 24-5 지상2층,"서울특별시 중구 수표로 22-14, 2층 (충무로3가)",4555,바카라,간이주점,199143.472,451193.9909
3000000,3000000-102-2011-00011,20110608,,,,,,154.71,110836,서울특별시 종로구 종로5가 231-9 지상2층,"서울특별시 종로구 종로 236-1 (종로5가,지상2층)",3197,발리투,룸살롱,200294.7149,452051.8076
3000000,3000000-102-2013-00001,20130107,,,,,02  749 0112,440,110842,서울특별시 종로구 창신동 442-3 7층,"서울특별시 종로구 종로 286, 7층 (창신동)",3119,동대문호텔 노래타운,룸살롱,200840.4283,452076.902
3180000,3180000-102-2022-00001,20221031,,,,,,301.5,150890,서울특별시 영등포구 여의도동 44-24,"서울특별시 영등포구 여의대방로65길 20, 지하1층 101호 (여의도동)",7333,베이지,룸살롱,193694.665,446449.5462
3050000,3050000-102-2010-00003,20100708,,,,,,410.78,130842,서울특별시 동대문구 장안동 372-1 지하1층,"서울특별시 동대문구 장한로 115, 지하1층 (장안동)",2624,미주노,룸살롱,206158.6092,452075.431
3170000,3170000-102-1999-06149,19991204,,,,,,55.61,153801,서울특별시 금천구 가산동 141-8 지상2층 (구로동길 265),"서울특별시 금천구 가산로 148, 지상2층 (가산동)",8527,여자친구노래바,룸살롱,190278.7656,441825.8848
3240000,3240000-102-2022-00001,20220325,,,,,,90.22,134814,서울특별시 강동구 길동 459-2,"서울특별시 강동구 천호대로 1135, 2층 206-2호 (길동)",5355,신세계노래주점,룸살롱,212111.3368,448059.842
3200000,3200000-102-2022-00001,20220203,,,,,,50.65,151930,서울특별시 관악구 신림동 1639-1 신림빌딩,"서울특별시 관악구 남부순환로 1588, 신림빌딩 3층 (신림동)",8776,망고노래빠,노래클럽,193480.7264,442387.8109
3010000,3010000-102-2004-00016,20041112,,,,,222695901,93.6,100300,서울특별시 중구 초동 70-4 (지상3층),"서울특별시 중구 마른내로 42 (초동,(지상3층))",4555,라이너(Liner),기타,199263.8038,451326.7212
3020000,3020000-102-2000-07317,20000324,,,,,02 7974757,57.82,140160,서울특별시 용산구 남영동 61-6 (지상2층),"서울특별시 용산구 한강대로 280-2 (남영동,(지상2층))",4352,황금노래클럽,간이주점,197523.5381,449015.375
3140000,3140000-102-1978-05659,19780731,,,,,226528983,110,158811,서울특별시 양천구 목동 602-1 지하 1층,"서울특별시 양천구 공항대로 564, 지하 1층 (목동)",7947,킹노래바,룸살롱,188253.3774,449654.079
